Strain	Allele_Freq	Condition	Generation	Rep	Mean	
F167Y	0.22210066	A	3	9	0.208120579	
F167Y	0.4180758	D	4	9	0.37282893	
F167Y	0.10320902	A	4	9	0.141951474	
F167Y	0.39341085	D	1	10	0.38836083	
F167Y	0.3714131	A	1	10	0.388965289	
F167Y	0.34893184	D	2	10	0.391866561	
F167Y	0.4900722	A	2	10	0.343367275	
F167Y	0.33514986	D	3	10	0.374355138	
F167Y	0.32392586	A	3	10	0.208120579	
F167Y	0.34657837	D	4	10	0.37282893	
F167Y	0.24565757	A	4	10	0.141951474	
E198L	0.536290323	D	1	1	0.519312901	
E198L	0.416666667	A	1	1	0.431790207	
E198L	0.552552553	D	2	1	0.523246971	
E198L	0.350328947	A	2	1	0.300986394	
E198L	0.530042918	D	3	1	0.513241457	
E198L	0.52125	D	4	1	0.266627588	
E198L	0.121297602	A	4	1	0.385814992	
E198L	0.545006165	D	1	2	0.519312901	
E198L	0.511830635	A	1	2	0.431790207	
E198L	0.545691906	D	2	2	0.523246971	
E198L	0.414852753	A	2	2	0.300986394	
E198L	0.568319226	D	3	2	0.513241457	
E198L	0.5859375	D	4	2	0.266627588	
E198L	0.120845921	A	4	2	0.385814992	
E198L	0.541601256	D	1	3	0.519312901	
E198L	0.376642336	A	1	3	0.431790207	
E198L	0.493506494	D	2	3	0.523246971	
E198L	0.302980132	A	2	3	0.300986394	
E198L	0.490963855	D	3	3	0.513241457	
E198L	0.21025641	A	3	3	0.266627588	
E198L	0.094551282	A	4	3	0.385814992	
E198L	0.457796853	D	1	4	0.519312901	
E198L	0.390243902	A	1	4	0.431790207	
E198L	0.448471121	D	2	4	0.523246971	
E198L	0.235039654	A	2	4	0.300986394	
E198L	0.467505241	D	3	4	0.513241457	
E198L	0.14793578	A	3	4	0.266627588	
E198L	0.490974729	D	4	4	0.385814992	
E198L	0.51497006	D	1	5	0.519312901	
E198L	0.421052632	A	1	5	0.431790207	
E198L	0.553008596	D	2	5	0.523246971	
E198L	0.305410122	A	2	5	0.300986394	
E198L	0.554557125	D	3	5	0.513241457	
E198L	0.261417323	A	3	5	0.266627588	
E198L	0.550072569	D	4	5	0.385814992	
E198L	0.532745592	D	1	6	0.519312901	
E198L	0.438478747	A	1	6	0.431790207	
E198L	0.51509434	D	2	6	0.523246971	
E198L	0.333662389	A	2	6	0.300986394	
E198L	0.519559902	D	3	6	0.513241457	
E198L	0.235971223	A	3	6	0.266627588	
E198L	0.485213582	D	4	6	0.385814992	
E198L	0.104357798	A	4	6	0.353161498	
E198L	0.497455471	D	1	7	0.519312901	
E198L	0.511848341	A	1	7	0.431790207	
E198L	0.520149953	D	2	7	0.523246971	
E198L	0.28590604	A	2	7	0.300986394	
E198L	0.516152717	D	3	7	0.513241457	
E198L	0.149441341	A	3	7	0.266627588	
E198L	0.521126761	D	4	7	0.385814992	
E198L	0.073657928	A	4	7	0.353161498	
E198L	0.504458599	D	1	8	0.519312901	
E198L	0.374513619	A	1	8	0.431790207	
E198L	0.490532011	D	2	8	0.523246971	
E198L	0.212378641	A	2	8	0.300986394	
E198L	0.401774398	D	3	8	0.513241457	
E198L	0.178240741	A	3	8	0.266627588	
E198L	0.378514056	D	4	8	0.385814992	
E198L	0.560375147	D	1	9	0.519312901	
E198L	0.490588235	A	1	9	0.431790207	
E198L	0.631229236	D	2	9	0.523246971	
E198L	0.286378429	A	2	9	0.300986394	
E198L	0.588873813	D	3	9	0.513241457	
E198L	0.219337017	A	3	9	0.266627588	
E198L	0.58479021	D	4	9	0.385814992	
E198L	0.147727273	A	4	9	0.353161498	
E198L	0.502429543	D	1	10	0.519312901	
E198L	0.386036961	A	1	10	0.431790207	
E198L	0.482233503	D	2	10	0.523246971	
E198L	0.282926829	A	2	10	0.300986394	
E198L	0.494665373	D	3	10	0.513241457	
E198L	0.15648855	A	3	10	0.266627588	
E198L	0.510763209	D	4	10	0.385814992	
E198L	0.053376906	A	4	10	0.353161498	
