gene,geneID
ben-1,WBGene00000248
mec-12,WBGene00003175
mec-7,WBGene00003171
tba-1,WBGene00006528
tba-2,WBGene00006529
tba-4,WBGene00006530
tba-5,WBGene00006531
tba-6,WBGene00006532
tba-7,WBGene00006533
tba-8,WBGene00006534
tba-9,WBGene00006535
tbb-1,WBGene00006536
tbb-2,WBGene00006537
tbb-4,WBGene00006538
tbb-6,WBGene00006539
tbg-1,WBGene00006540
