StageID,LifeStage
WBls.0000024,L1 Larva
WBls.0000027,L2 Larva
WBls.0000035,L3 Larva
WBls.0000038,L4 Larva
WBls.0000002,All Stages
WBls.0000041,Adult
WBls.0000032,Dauer Larva
WBls.0000003,Embryo Ce
